Town,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7,2022.8,2022.9,2022.10,2022.11,2022.12,2023.1,2023.2,2023.3,2023.4,2023.5,2023.6,2023.7,2023.8,2023.9,2023.10,2023.11,2023.12
Bishan,441.5,458.1,427.6,466.6,503.1,484.9,445.7,479.1,448.8,438.3,436.5,402.6,404.7,381.6,349.3,407.9,500.9,477.9,478.9,471.4,463,495.7,471.5,429.1
Bukit Merah,373.4,341.8,319.5,365.4,371.3,385.6,366.3,352.8,372,340.1,349,321.1,327.6,296.5,294.2,319.3,357.8,401.6,383.8,348.2,368.9,364.2,384.9,346.4
Bukit Timah,905.5,894.8,857.5,898.1,974.1,1006.9,919.4,890.1,877.6,849.4,909.9,789.3,817.5,758.5,746.9,799.9,923.3,979.8,915.8,863.3,911.5,951,916.9,834.9
Downtown Core,459.9,474.4,458.3,505.3,549.9,542.5,542.7,531.1,500.1,501.3,471,477.5,459.7,435.4,423.3,439.4,535.8,543.3,565.9,516.9,504.5,480.5,506.3,513.9
Geylang,383.1,418.7,445.9,449.5,420.3,432.9,418.4,390.4,382.4,376.8,411.8,357.7,329,369.2,435,455.8,446.3,437.8,416.6,437.6,443,407.6,506.3,513.9
Kallang,354.9,389.5,413.5,424.3,386.5,402.1,393.4,376,367.3,355.6,383.8,335.9,314.4,344.5,407.6,438.4,411,407,393.4,400.5,413.2,386,443,407.6
Marine Parade,526.7,566.4,629,644.1,593.2,601.6,566.6,541.8,545.4,508.7,572,510.5,466.4,532.7,589.4,653.4,620.4,596.8,600.4,624.3,604.5,565.8,413.2,386
Museum,497.9,535.2,598.4,546.3,524.8,562,533.8,534.4,528.1,540.4,535.9,492.2,456.8,491.9,577.5,472.3,520.2,471.3,485.9,488.9,593.9,515.4,604.5,565.8
Newton,916.8,1028.8,1061.2,1147.4,980,927.5,983.6,914,978.9,874.7,970.2,870.1,778.3,907.1,957.5,1183.8,1015.1,939.2,935.2,1050.7,1015.6,899.4,593.9,515.4
Novena,567,630.4,681.8,643.4,594.6,673.3,599.8,621.1,557.8,575.7,610.2,499.6,492.3,548.3,664.9,644.9,644.6,686.4,590.7,671,637.5,629.1,1015.6,899.4
Orchard,806.4,874.7,945.3,1080.5,949.6,806.3,934.8,900.6,960.5,826,903.4,870.9,731.7,813.2,905,1150.5,918.4,774.5,783.6,865.9,885.2,773.6,637.5,629.1
Outram,288,316.7,331,342.6,333.9,305.8,328,298.1,303.3,284.9,312.6,279.2,257.7,275.3,330.9,344,339.2,311.6,341,317.1,338.8,307.8,885.2,773.6
Queenstown,318,355.6,363,387.7,348.3,341.3,360,338.8,340.9,325.9,347.6,326.8,299.8,322.7,348.3,409.4,382.8,349.7,378.6,363.1,372,334.5,338.8,307.8
River Valley,747.1,816.8,923,850.6,819.6,834.6,801.8,784.4,784,766.9,803.2,684.9,658,688.3,857.1,845.4,914.4,812.4,762.5,785.5,896.7,815.5,372,334.5
