Town,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7,2022.8,2022.9,2022.10,2022.11,2022.12,,2023.1,2023.2,2023.3,2023.4,2023.5,2023.6,2023.7,2023.8,2023.9,2023.10,2023.11,2023.12
Bishan,81.1,84.5,81.3,81.9,78.0,71.4,69.7,74.8,76.9,74.7,78.9,70.8,77.0,73.2,77.5,73.6,75.3,71.9,63.8,67.4,70.8,72.4,72.6,71.1,68.7
Bukit Merah,70.2,66.2,63.5,68.0,67.1,60.2,61.5,58.3,63.6,62.4,64.1,60.0,63.8,63.3,59.5,59.7,63.7,62.2,57.1,57.6,55.5,59.5,59.6,60.3,56.5
Bukit Timah,89.1,90.0,92.1,92.7,91.1,85.1,82.8,81.4,83.1,88.4,93.5,83.3,87.7,84.9,82.7,90.2,91.3,84.3,78.7,77.1,72.1,80.9,89.1,85.2,82.2
Downtown Core,43.1,44.2,44.5,46.0,45.9,43.9,43.3,43.6,45.6,48.5,50.9,48.6,45.7,50.1,48.7,50.8,50.6,45.8,49.4,40.2,42.8,50.6,45.9,48.9,47.9
Geylang,70.6,71.9,68.9,69.0,65.8,66.4,63.9,62.8,67.6,61.8,64.3,62.6,66.3,60.3,64.1,65.1,65.4,60.5,59.1,56.6,63.0,59.8,60.1,60.1,58.4
Kallang,73.6,77.6,79.3,79.3,74.0,70.6,67.1,72.5,73.6,73.2,74.3,72.9,74.0,68.8,71.8,74.9,75.4,69.7,67.4,61.8,69.1,70.0,69.6,68.7,69.4
Marine Parade,85.1,88.3,83.4,83.2,86.4,80.3,78.3,78.9,79.2,82.7,82.9,77.5,82.2,79.1,80.4,80.9,83.7,78.8,70.0,74.8,73.1,76.3,79.7,75.1,73.7
Museum,27.8,27.5,29.3,29.1,28.5,26.8,23.7,27.3,25.6,26.4,32.9,31.7,28.1,26.2,26.8,31.0,30.5,30.1,29.3,28.2,28.1,26.5,28.2,33.5,31.7
Newton,67.9,63.9,68.6,70.6,75.2,60.0,64.3,59.8,65.1,74.2,77.5,63.0,67.5,67.7,66.4,66.7,71.8,65.4,64.4,61.9,54.5,58.4,70.5,66.0,64.4
Novena,72.2,85.0,82.5,84.7,73.2,76.5,66.3,78.3,73.8,75.6,77.6,77.9,77.0,68.8,78.8,83.8,80.6,66.7,75.2,59.4,73.7,72.1,75.2,68.0,74.2
Orchard,54.2,57.1,49.2,53.8,59.0,51.8,52.9,39.7,52.9,67.6,64.9,53.0,54.7,66.0,42.7,51.0,56.7,63.7,53.0,56.0,37.9,45.2,62.5,59.7,57.1
Outram,61.7,56.9,55.0,60.5,59.7,53.4,54.5,50.6,55.1,54.4,55.9,54.2,56.0,54.3,52.4,53.1,56.5,55.3,46.9,51.9,51.9,53.9,50.3,51.8,51.4
